index,totalseconds,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13_Row1,Q13_Row2,Q13_Row3,Q13_Row4,Q13_Row5,Q13_Row6,Q13_Row7,Q13_Row8,Q13_Row9,Q13_Row10,Q13_Row11,Q13_Row12,Q13_Row13,Q13_Row14,Q13_Row15,Q13_Row16,Q13_Row17,Q13_Row18,Q13_Row19,Q13_Row20,Q13_Row21,Q13_Row22,Q13_Row23,Q13_Row24,Q13_Row25,Q13_Row26,Q13_Row27,Q13_Row28,Q13_Row29,totalvalue,最后一个基本个案
120,218,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,3,4,3,3,3,3,3,4,3,4,4,3,4,4,3,3,4,3,4,2,3,3,3,4,3,3,100,0
154,132,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,3,3,3,4,4,3,4,4,3,3,3,4,3,3,4,4,4,3,3,4,3,3,2,4,3,4,5,4,100,0
192,229,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,4,4,2,4,4,3,4,3,3,3,4,4,3,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,100,0
126,262,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,2,4,4,4,4,100,0
221,158,2,-3,-3,-3,-3,-3,1,3,1,2,1,1,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,101,0
247,341,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,4,3,4,5,4,4,4,5,3,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,3,4,3,3,101,0
148,93,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,3,4,4,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,3,4,4,4,3,3,3,3,4,4,3,101,0
159,206,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,4,4,3,4,4,3,3,4,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,101,0
80,217,2,-3,-3,-3,-3,-3,1,2,2,4,1,1,3,4,4,3,2,4,4,4,3,4,5,3,3,4,2,2,4,3,4,4,4,3,4,2,2,3,4,4,4,101,0
230,224,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,3,3,3,3,3,4,101,0
